SCORE,DATE,D0,D1,D2,D3,D4,NA_COUNT,W0,W1,W2,W3,W4
1.1,year_0,0,0,0,0,0,0,98.9,0,0,0,0
92.2,year_1,7.8,0,0,0,0,0,0,0,0,0,0
6.3,year_2,93.7,42,0,0,0,0,0,0,0,0,0
3.2,year_3,96.8,71.3,0,0,0,0,0,0,0,0,0
44.8,year_4,55.2,0,0,0,0,0,0,0,0,0,0
26.4,year_5,73.7,21.1,0,0,0,0,0,0,0,0,0
4.4,year_6,0,0,0,0,0,0,95.6,34.7,13.6,0,0
67.2,year_7,32.8,0,0,0,0,0,0,0,0,0,0
11.7,year_8,88.2,15.8,2.3,0,0,0,0,0,0,0,0
95.4,year_9,2.2,0,0,0,0,0,2.4,0,0,0,0
68.8,year_10,0,0,0,0,0,0,31.2,9.8,0,0,0
65.3,year_11,0,0,0,0,0,0,34.7,20,6.7,0.1,0
0,year_12,100,49.4,0,0,0,0,0,0,0,0,0
10,year_13,90,60,0,0,0,0,0,0,0,0,0
0,year_14,100,77.6,3.2,0,0,0,0,0,0,0,0
2.1,year_15,97.8,92.6,83.5,61,9.9,0,0,0,0,0,0
12.3,year_16,87.7,60,6.4,0,0,0,0,0,0,0,0
13.4,year_17,86.6,55.4,0,0,0,0,0,0,0,0,0
55.9,year_18,44.1,0,0,0,0,0,0,0,0,0,0
94.6,year_19,2.2,0,0,0,0,0,3.2,0,0,0,0
44.9,year_20,31.9,0,0,0,0,0,23.2,5.8,0,0,0
78.8,year_21,0,0,0,0,0,0,21.2,1.1,0,0,0
33.1,year_22,66.8,23.1,0,0,0,0,0,0,0,0,0
41.7,year_23,0,0,0,0,0,0,58.3,22.6,5.9,0,0
23.5,year_24,67.9,48.7,8.6,0,0,0,8.6,0,0,0,0
42.4,year_25,55.3,10.7,0,0,0,0,2.2,0,0,0,0
28,year_26,31.7,6.5,0,0,0,0,40.3,30.1,23.5,17.9,15.7
36,year_27,41.8,7.6,0,0,0,0,22.1,14.4,2.2,0,0
94.6,year_28,0,0,0,0,0,0,5.4,0,0,0,0
39,year_29,58.9,8.8,0,0,0,0,2.1,0,0,0,0
87.9,year_30,7.9,0,0,0,0,0,4.2,0,0,0,0
7.9,year_31,0,0,0,0,0,0,92,30.4,1.2,0,0
0,year_32,0,0,0,0,0,0,100,100,100,97.9,85
0,year_33,0,0,0,0,0,0,99.9,89.8,53.9,14.1,0
0,year_34,0,0,0,0,0,0,99.9,96.6,92.2,88.9,72.4
0,year_35,0,0,0,0,0,0,100,100,87.9,23.3,0
0,year_36,0,0,0,0,0,0,100,41.3,2.2,0,0
1.1,year_37,98.9,36.3,9.2,0,0,0,0,0,0,0,0
68.7,year_38,15.6,0,0,0,0,0,15.7,0,0,0,0
80,year_39,2.2,0,0,0,0,0,17.9,3.4,0,0,0
85.3,year_40,14.8,0.2,0,0,0,0,0,0,0,0,0
17.8,year_41,0,0,0,0,0,0,82.2,0,0,0,0
53.6,year_42,43.1,0,0,0,0,0,3.3,0,0,0,0
5.4,year_43,94.6,23.6,2.4,0,0,0,0,0,0,0,0
0,year_44,100,76.3,7.1,0,0,0,0,0,0,0,0
93,year_45,0,0,0,0,0,0,7,0,0,0,0
87.7,year_46,4.4,0,0,0,0,0,7.9,0,0,0,0
91.3,year_47,8.7,0,0,0,0,0,0,0,0,0,0
2.1,year_48,97.8,84.7,19.9,0,0,0,0,0,0,0,0
2.1,year_49,97.8,74.7,5.7,0,0,0,0,0,0,0,0
0,year_50,0,0,0,0,0,0,100,91.3,18.7,0,0
86.4,year_51,0,0,0,0,0,0,13.6,0,0,0,0
32.4,year_52,67.6,5.9,0,0,0,0,0,0,0,0,0
0,year_53,99.9,99.9,99.9,97.8,77.9,0,0,0,0,0,0
32.6,year_54,67.3,7.7,0,0,0,0,0,0,0,0,0
26.1,year_55,73.9,0,0,0,0,0,0,0,0,0,0
0,year_56,100.1,99,72.7,0,0,0,0,0,0,0,0
15.6,year_57,84.4,65.6,38.5,0,0,0,0,0,0,0,0
90.8,year_58,0,0,0,0,0,0,9.2,0,0,0,0
65.8,year_59,0,0,0,0,0,0,34.2,0,0,0,0
